year,month,day,hour,bucket,euclidean_distance
2023,7,16,22,1,15.459624833740307
2023,7,16,22,2,7.810249675906654
2023,7,16,22,3,6.928203230275509
2023,7,16,22,4,8.831760866327848
2023,7,16,22,5,17.549928774784245
2023,7,16,22,6,9.1104335791443
2023,7,16,22,7,12.649110640673518
2023,7,16,22,8,23.08679276123039
2023,7,16,22,9,18.275666882497067
2023,7,16,22,10,13.784048752090222
2023,7,16,22,11,10.488088481701515
2023,7,16,22,12,10.954451150103322
2023,7,16,23,1,6.6332495807108
2023,7,16,23,2,8.54400374531753
2023,7,16,23,3,11.357816691600547
2023,7,16,23,4,11.661903789690601
2023,7,16,23,5,14.560219778561036
2023,7,16,23,6,11.0
2023,7,16,23,7,7.211102550927978
2023,7,16,23,8,13.711309200802088
2023,7,16,23,9,5.0
2023,7,16,23,10,8.774964387392123
2023,7,16,23,11,7.937253933193772
2023,7,16,23,12,9.486832980505138
2023,7,17,0,1,22.02271554554524
2023,7,17,0,2,24.020824298928627
2023,7,17,0,3,23.2163735324878
2023,7,17,0,4,16.492422502470642
2023,7,17,0,5,19.570385790780925
2023,7,17,0,6,12.84523257866513
2023,7,17,0,7,16.61324772583615
2023,7,17,0,8,19.77371993328519
2023,7,17,0,9,30.298514815086232
2023,7,17,0,10,39.08964057138413
2023,7,17,0,11,43.034869582700026
2023,7,17,0,12,43.634848458542855
2023,7,17,1,1,33.896902513356586
2023,7,17,1,2,10.908712114635714
2023,7,17,1,3,12.288205727444508
2023,7,17,1,4,7.416198487095663
2023,7,17,1,5,16.492422502470642
2023,7,17,1,6,8.774964387392123
2023,7,17,1,7,9.327379053088816
2023,7,17,1,8,7.0
2023,7,17,1,9,13.564659966250536
2023,7,17,1,10,5.744562646538029
2023,7,17,1,11,10.862780491200215
2023,7,17,1,12,8.888194417315589
2023,7,17,2,1,11.224972160321824
2023,7,17,2,2,16.0
2023,7,17,2,3,8.774964387392123
2023,7,17,2,4,7.681145747868608
2023,7,17,2,5,7.681145747868608
2023,7,17,2,6,12.767145334803704
2023,7,17,2,7,5.916079783099616
2023,7,17,2,8,10.63014581273465
2023,7,17,2,9,19.8997487421324
2023,7,17,2,10,15.0
2023,7,17,2,11,19.974984355438178
2023,7,17,2,12,13.601470508735444
2023,7,17,3,1,15.84297951775486
2023,7,17,3,2,16.583123951777
2023,7,17,3,3,8.660254037844387
2023,7,17,3,4,14.212670403551895
2023,7,17,3,5,11.532562594670797
2023,7,17,3,6,14.628738838327793
2023,7,17,3,7,17.406895185529212
2023,7,17,3,8,20.024984394500787
2023,7,17,3,9,23.515952032609693
2023,7,17,3,10,28.106938645110393
2023,7,17,3,11,21.702534414210707
2023,7,17,3,12,33.76388603226827
2023,7,17,4,1,26.49528259898354
2023,7,17,4,2,26.77685567799177
2023,7,17,4,3,34.0
2023,7,17,4,4,26.115129714401192
2023,7,17,4,5,48.620983124572874
2023,7,17,4,6,27.23967694375247
2023,7,17,4,7,35.34119409414458
2023,7,17,4,8,41.46082488325576
2023,7,17,4,9,53.19774431308154
2023,7,17,4,10,46.33573135281238
2023,7,17,4,11,37.16180835212409
2023,7,17,4,12,30.083217912982647
2023,7,17,5,1,248.16728229160265
2023,7,17,5,2,248.16728229160265
2023,7,17,5,3,248.16728229160265
2023,7,17,5,4,248.16728229160265
2023,7,17,5,5,248.16728229160265
2023,7,17,5,6,248.16728229160265
2023,7,17,5,7,248.16728229160265
2023,7,17,5,8,248.16728229160265
2023,7,17,5,9,248.16728229160265
2023,7,17,5,10,248.16728229160265
2023,7,17,5,11,248.16728229160265
2023,7,17,5,12,248.16728229160265
2023,7,17,6,1,3.3166247903554
2023,7,17,6,2,248.16728229160265
2023,7,17,6,3,64.68384651518491
2023,7,17,6,4,120.33702672078948
2023,7,17,6,5,170.91810904640855
2023,7,17,6,6,116.43023662262307
2023,7,17,6,7,127.1770419533337
2023,7,17,6,8,116.42164747159353
2023,7,17,6,9,164.3319810627256
2023,7,17,6,10,136.48076787591722
2023,7,17,6,11,178.53851125177448
2023,7,17,6,12,248.16728229160265
2023,7,17,7,1,248.16728229160265
2023,7,17,7,2,19.697715603592208
2023,7,17,7,3,88.40248865275231
2023,7,17,7,4,142.9405470816451
2023,7,17,7,5,164.97575579460153
2023,7,17,7,6,138.63621460498698
2023,7,17,7,7,117.41379816699569
2023,7,17,7,8,141.17719362559944
2023,7,17,7,9,134.94443300855357
2023,7,17,7,10,122.53570908106747
2023,7,17,7,11,165.54455593585675
2023,7,17,7,12,196.27276937975884
2023,7,17,8,1,114.57312075700827
2023,7,17,8,2,6.782329983125268
2023,7,17,8,3,12.206555615733702
2023,7,17,8,4,38.157568056677825
2023,7,17,8,5,74.26977851050857
2023,7,17,8,6,17.204650534085253
2023,7,17,8,7,8.602325267042627
2023,7,17,8,8,31.73326330524486
2023,7,17,8,9,1.4142135623730951
2023,7,17,8,10,2.6457513110645907
2023,7,17,8,11,27.676705006196094
2023,7,17,8,12,6.708203932499369
2023,7,17,9,1,90.00555538409837
2023,7,17,9,2,16.30950643030009
2023,7,17,9,3,36.945906403822335
