year,month,day,hour,bucket,maximum
2023,7,17,13,6,29.0
2023,7,17,13,7,29.0
2023,7,17,13,8,23.0
2023,7,17,13,9,26.0
2023,7,17,13,10,23.0
2023,7,17,13,11,20.0
2023,7,17,13,12,16.0
2023,7,17,14,1,23.0
2023,7,17,14,2,23.0
2023,7,17,14,3,22.0
2023,7,17,14,4,23.0
2023,7,17,14,5,23.0
2023,7,17,14,6,24.0
2023,7,17,14,7,14.0
2023,7,17,14,8,22.0
2023,7,17,14,9,22.0
2023,7,17,14,10,22.0
2023,7,17,14,11,17.0
2023,7,17,14,12,26.0
2023,7,17,15,1,24.0
2023,7,17,15,2,22.0
2023,7,17,15,3,22.0
2023,7,17,15,4,24.0
2023,7,17,15,5,5.0
2023,7,17,15,6,23.0
2023,7,17,15,7,22.0
2023,7,17,15,8,23.0
2023,7,17,15,9,22.0
2023,7,17,15,10,23.0
2023,7,17,15,11,27.0
2023,7,17,15,12,20.0
2023,7,17,16,1,11.0
2023,7,17,16,2,22.0
2023,7,17,16,3,23.0
2023,7,17,16,4,24.0
2023,7,17,16,5,23.0
2023,7,17,16,6,23.0
2023,7,17,16,7,23.0
2023,7,17,16,8,23.0
2023,7,17,16,9,21.0
2023,7,17,16,10,23.0
2023,7,17,16,11,22.0
2023,7,17,16,12,40.0
2023,7,17,17,1,21.0
2023,7,17,17,2,13.0
2023,7,17,17,3,24.0
2023,7,17,17,4,24.0
2023,7,17,17,5,23.0
2023,7,17,17,6,23.0
2023,7,17,17,7,23.0
2023,7,17,17,8,18.0
2023,7,17,17,9,21.0
2023,7,17,17,10,21.0
2023,7,17,17,11,21.0
2023,7,17,17,12,40.0
2023,7,17,18,1,18.0
2023,7,17,18,2,15.0
2023,7,17,18,3,24.0
2023,7,17,18,4,12.0
2023,7,17,18,5,23.0
2023,7,17,18,6,23.0
2023,7,17,18,7,23.0
2023,7,17,18,8,23.0
2023,7,17,18,9,23.0
2023,7,17,18,10,25.0
2023,7,17,18,11,32.0
2023,7,17,18,12,23.0
2023,7,17,19,1,14.0
2023,7,17,19,2,23.0
2023,7,17,19,3,5.0
2023,7,17,19,4,22.0
2023,7,17,19,5,22.0
2023,7,17,19,6,36.0
2023,7,17,19,7,36.0
2023,7,17,19,8,24.0
2023,7,17,19,9,25.0
2023,7,17,19,10,22.0
2023,7,17,19,11,28.0
2023,7,17,19,12,34.0
2023,7,17,20,1,25.0
2023,7,17,20,2,22.0
2023,7,17,20,3,23.0
2023,7,17,20,4,23.0
2023,7,17,20,5,6.0
2023,7,17,20,6,13.0
2023,7,17,20,7,22.0
2023,7,17,20,8,14.0
2023,7,17,20,9,14.0
2023,7,17,20,10,14.0
2023,7,17,20,11,23.0
2023,7,17,20,12,15.0
